document,element,frequency_in_document
C00003,paul,1.0
C00003,associ,1.0
C00003,detail,9.0
C00003,committe,1.0
C00003,republican,1.0
C00003,data,1.0
C00003,law,4.0
C00003,manag,3.0
C00003,peter,1.0
C00003,role,2.0
C00003,firm,4.0
C00003,wilmerhal,5.0
C00003,partner,5.0
C00003,oversaw,2.0
C00003,independ,1.0
C00003,nfl,2.0
C00003,surround,1.0
C00003,video,1.0
C00003,player,1.0
C00003,ray,1.0
C00003,rice,1.0
C00003,assault,1.0
C00003,januari,1.0
C00003,consum,2.0
C00003,litig,1.0
C00003,volkswagen,1.0
C00003,massiv,1.0
C00003,employe,1.0
C00003,hamilton,1.0
C00003,allen,1.0
C00003,booz,1.0
C00003,contractor,1.0
C00003,teach,1.0
C00003,practic,1.0
C00003,extern,1.0
C00003,octob,1.0
C00003,custom,1.0
C00003,billion,1.0
C00003,scandal,2.0
C00003,emiss,1.0
C00003,review,1.0
C00003,april,1.0
C00003,cybersecur,1.0
C00003,univers,1.0
C00003,process,1.0
C00003,expert,1.0
C00003,elizabeth,1.0
C00003,robert,3.0
C00003,mueller,9.0
C00003,sixth,1.0
C00003,director,3.0
C00003,bureau,1.0
C00003,appoint,3.0
C00003,presid,4.0
C00003,term,2.0
C00003,extens,1.0
C00003,barack,3.0
C00003,obama,5.0
C00003,edgar,1.0
C00003,hoover,1.0
C00003,jame,3.0
C00003,two,2.0
C00003,lectur,1.0
C00003,distinguish,1.0
C00003,payn,1.0
C00003,frank,1.0
C00003,arthur,1.0
C00003,issu,1.0
C00003,professor,1.0
C00003,leav,1.0
C00003,russia,1.0
C00003,sampl,1.0
C00003,uranium,1.0
C00003,clinton,4.0
C00003,comey,3.0
C00003,consult,1.0
C00003,also,3.0
C00003,sinc,1.0
C00003,michael,2.0
C00003,us,1.0
C00004,concern,1.0
C00004,compet,1.0
C00004,follow,1.0
C00004,respect,1.0
C00004,enough,1.0
C00004,consid,2.0
C00004,pull,1.0
C00004,elabor,1.0
C00004,scheme,1.0
C00004,incompet,1.0
C00004,intellig,3.0
C00004,video,1.0
C00004,war,1.0
C00004,choos,1.0
C00004,presid,1.0
C00004,healthi,1.0
C00004,patriot,1.0
C00004,old,1.0
C00004,distrust,1.0
C00004,ridicul,2.0
C00004,would,1.0
C00004,degre,1.0
C00004,unquest,1.0
C00004,half,1.0
C00004,trust,1.0
C00004,new,1.0
C00004,precis,1.0
C00004,plot,1.0
C00004,alli,1.0
C00004,construct,1.0
C00004,qaeda,5.0
C00004,al,4.0
C00004,laden,2.0
C00004,bin,2.0
C00004,osama,3.0
